Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.013643004895774,7.93162980589686E-07,0.0859988058711454,0,0,0,3.10945390199589,0.00934001308296876,-1.90416051881277E-09,1.49895631162341E-07,0.0217925945259764,-3.80295188180819E-08,0.024080010541156,0,0,0,0,0,0,package://twolegwheel/meshes/base_link.STL,0,0,0,1,0,0,0,0,0,0,package://twolegwheel/meshes/base_link.STL,,双足body-1;关节-3/dm_4340__3d20240822_1(2)(1).stp-1/DM_4340__3D20240325_1_4.stp-1/DM_4340_3D_1_1_1_1_4.stp-1;关节-1/dm_4340__3d20240822_1(2)(1).stp-1/DM_4340__3D20240325_1_4.stp-1/DM_4340_3D_1_1_1_1_4.stp-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Left_Link1,0.00798255232984077,-4.50865902585395E-05,0.0367881420274613,0,0,0,0.238485739146011,0.00016047963206388,-1.70377510394897E-08,2.36990442421365E-06,0.000162839075296289,8.40873201521928E-08,0.000140875618411013,0,0,0,0,0,0,package://twolegwheel/meshes/Left_Link1.STL,0.854901960784314,0.854901960784314,0.854901960784314,1,0,0,0,0,0,0,package://twolegwheel/meshes/Left_Link1.STL,,JOINT1-2;关节-4/dm_4340__3d20240822_1(2)(1).stp-1/DM_4340__3D20240325_1_4.stp-1/4310__VER_B0001_1_1_1_1_4.stp-1;关节-4/dm_4340__3d20240822_1(2)(1).stp-1/DM_4340__3D20240325_1_4.stp-1/DM_4340_3D_1_1_1_1_4.stp-1,J1_L,A_J1_L,Left_Joint1,revolute,0.126001345954292,0,0.0577144013466578,3.14159265358979,-0.785398163397443,0,base_link,0,0,-1,9,4,-3.14,3.14,,,,,,,,
Left_Link2,-2.59212361961045E-05,-0.0478095316134824,-0.0104737983474144,0,0,0,0.124068775292257,8.2152871682514E-05,-6.24494359433288E-09,-3.57216894518163E-08,3.44293185125146E-05,2.8318640578745E-06,9.22034985201147E-05,0,0,0,0,0,0,package://twolegwheel/meshes/Left_Link2.STL,1,1,1,1,0,0,0,0,0,0,package://twolegwheel/meshes/Left_Link2.STL,,LEG1-2;dm_3507_3d-241021-4,J2_L,A_J2_L,Left_Joint2,revolute,0.04275,0,0.0410500000000001,-1.5707963267949,0,1.5707963267949,Left_Link1,0,0,-1,9,4,-3.14,3.14,,,,,,,,
Left_Link3,1.11543217521599E-05,-0.0160034117315547,-0.0377275570862977,0,0,0,0.154593855527533,7.48360086999987E-05,8.92895374741486E-09,2.87062145894065E-08,8.38191871420754E-05,-8.9586850315822E-06,6.20708624383725E-05,0,0,0,0,0,0,package://twolegwheel/meshes/Left_Link3.STL,1,1,1,1,0,0,0,0,0,0,package://twolegwheel/meshes/Left_Link3.STL,,JOINT2_2-2;DM-J4310-2EC-2,J3_L,A_J3_L,Left_Joint3,revolute,0,-0.0969,-0.0110500000000001,-1.5707963267949,0,0,Left_Link2,0,0,-1,1,15,-3.14,3.14,,,,,,,,
Left_Link4,5.79600776105739E-05,-0.0716988597958197,0.00570636373232694,0,0,0,0.145990900684867,0.000190396621110576,7.81613638782877E-07,9.31454388057954E-08,3.6299339574335E-05,-1.86542623690102E-05,0.00019317593775976,0,0,0,0,0,0,package://twolegwheel/meshes/Left_Link4.STL,1,1,1,1,0,0,0,0,0,0,package://twolegwheel/meshes/Left_Link4.STL,,LEG2_3-2;dm_3507_3d-241021-5,J4_L,A_J4_L,Left_Joint4,revolute,0,0.00799999999999998,-0.0409999999999999,1.5707963267949,0,-3.14159265358979,Left_Link3,0,0,-1,3,12,-3.14,3.14,,,,,,,,
Left_Link5,-5.30739440765447E-05,-0.00235248627116799,0.0301691000867451,0,0,0,0.096418478757106,3.34601332651236E-05,-7.62053608668753E-09,1.99376169154024E-08,3.88654105004542E-05,3.78850515913553E-06,2.75749493418457E-05,0,0,0,0,0,0,package://twolegwheel/meshes/Left_Link5.STL,1,1,1,1,0,0,0,0,0,0,package://twolegwheel/meshes/Left_Link5.STL,,末端-2;dm_3507_3d-241021-6,J5_L,A_J5_L,Left_Joint5,revolute,0,-0.1364,0.000999999999999945,1.57079632679489,0,0,Left_Link4,0,0,-1,1,15,-3.14,3.14,,,,,,,,
Left_Link6,1.26181413799689E-16,-0.0160077205818371,-0.0135000000000004,0,0,0,0.067417011826285,3.50124967217308E-05,3.48673651139236E-20,-1.43749606913631E-21,1.4985800495038E-05,-1.05879118406787E-20,4.4033848838378E-05,0,0,0,0,0,0,package://twolegwheel/meshes/Left_Link6.STL,1,1,1,1,0,0,0,0,0,0,package://twolegwheel/meshes/Left_Link6.STL,,轮足手_基座-2,J6_L,A_J6_L,Left_Joint6,revolute,0,0.0174,0.036,-1.5708,0,3.1416,Left_Link5,0,0,-1,1,15,-3.14,3.14,,,,,,,,
Left_Wheel1,-3.46944695195361E-18,1.11022302462516E-16,0.0100000000000001,0,0,0,0.0517296128779225,2.67967063887144E-05,-2.21145033190911E-21,-6.04424975907404E-21,2.67967063887144E-05,1.27054942088145E-20,1.00310015763558E-05,0,0,0,0,0,0,package://twolegwheel/meshes/Left_Wheel1.STL,1,1,1,1,0,0,0,0,0,0,package://twolegwheel/meshes/Left_Wheel1.STL,,轮足手_轮-4,Wheel1_L,A_Wheel1_L,Left_Wheel1_Joint,continuous,0.0225000000000002,-0.0425,-0.0235000000000004,0,0,0,Left_Link6,0,0,-1,,,,,,,,,,,,
Left_Wheel2,1.38777878078145E-17,1.11022302462516E-16,0.0100000000000001,0,0,0,0.0517296128779226,2.67967063887144E-05,6.153566380271E-22,-2.39970031490095E-21,2.67967063887144E-05,1.22819777351874E-20,1.00310015763558E-05,0,0,0,0,0,0,package://twolegwheel/meshes/Left_Wheel2.STL,1,1,1,1,0,0,0,0,0,0,package://twolegwheel/meshes/Left_Wheel2.STL,,轮足手_轮-3,Wheel2_L,A_Wheel2_L,Left_Wheel2_Joint,continuous,-0.0224999999999998,-0.0425000000000001,-0.0235000000000004,0,0,0,Left_Link6,0,0,-1,,,,,,,,,,,,
Right_Link1,-0.00798255232481618,-3.17460933430335E-05,0.0367341196326673,0,0,0,0.238485739194803,0.00016047963210501,9.86789665342891E-09,-2.35099818989148E-06,0.000162935769054922,-1.00610547185295E-07,0.000140778924712756,0,0,0,0,0,0,package://twolegwheel/meshes/Right_Link1.STL,1,1,1,1,0,0,0,0,0,0,package://twolegwheel/meshes/Right_Link1.STL,,关节-2/dm_4340__3d20240822_1(2)(1).stp-1/DM_4340__3D20240325_1_4.stp-1/DM_4340_3D_1_1_1_1_4.stp-1;关节-2/dm_4340__3d20240822_1(2)(1).stp-1/DM_4340__3D20240325_1_4.stp-1/4310__VER_B0001_1_1_1_1_4.stp-1;JOINT1-1,J1_R,A_J1_R,Right_Joint1,revolute,-0.153287975927055,0,0.0577144013466578,3.14159265358979,0.785398163397443,0,base_link,0,0,-1,9,4,-3.14,3.14,,,,,,,,
