Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-2.4285677057187E-05,-3.40659961850509E-06,-0.0560860672034413,0,0,0,0.940207614641788,0.00283478870925274,-9.29913071616552E-08,3.35231942382488E-08,0.00283654964894212,-2.92864401286296E-06,0.00399388614445327,0,0,0,0,0,0,package://xy2leg3_4/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://xy2leg3_4/meshes/base_link.STL,,body双足-1;关节-1;关节-3,body,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Right_Link1,-0.00798254262591939,-9.31427232347959E-06,0.0359730809305004,0,0,0,0.238485843809832,0.000160475140221198,2.15614316368876E-09,-2.3480487725949E-06,0.000162999840039312,-2.2360550340939E-08,0.000140709087567943,0,0,0,0,0,0,package://xy2leg3_4/meshes/Right_Link1.STL,0.854901960784314,0.854901960784314,0.854901960784314,1,0,0,0,0,0,0,package://xy2leg3_4/meshes/Right_Link1.STL,,JOINT1-1;关节-2,C_J1_R,A_J1_R,Right_Joint1,revolute,0,-0.08,-0.105,3.14159265358979,0,1.5707963267949,base_link,0,0,-1,0,0,-3.14,3.14,,,,,,,,
Right_Link2,-4.72148396074568E-07,0.0478095355574009,0.0108020509204528,0,0,0,0.124068765233627,8.21279872218073E-05,1.10084349584764E-08,2.26773725618879E-09,3.44293186848553E-05,2.84638254487491E-06,9.22284181673088E-05,0,0,0,0,0,0,package://xy2leg3_4/meshes/Right_Link2.STL,1,1,1,1,0,0,0,0,0,0,package://xy2leg3_4/meshes/Right_Link2.STL,,LEG1-1;dm_3507_3d-241021-1,J2_R,A_J2_R,Right_Joint2,revolute,-0.0425,0,0.0403,1.5707963267949,0,-1.5707963267949,Right_Link1,0,0,-1,0,0,-3.14,3.14,,,,,,,,
Right_Link3,-0.0160034046847324,2.51880043855152E-05,0.0377326370598048,0,0,0,0.154593914825605,8.38192564239904E-05,1.98734362466927E-08,8.96304165315058E-06,7.48512258350315E-05,-2.29792706860056E-08,6.20557131549661E-05,0,0,0,0,0,0,package://xy2leg3_4/meshes/Right_Link3.STL,1,1,1,1,0,0,0,0,0,0,package://xy2leg3_4/meshes/Right_Link3.STL,,DM-J4310-2EC-1;JOINT2_2-1,J3_R,A_J3_R,Right_Joint3,revolute,0,0.0969,0.0113,-1.5708,-1.5708,0,Right_Link2,0,0,-1,0,0,-3.14,3.14,,,,,,,,
Right_Link4,8.38603726068116E-05,-0.0716988598984499,0.00566605033693526,0,0,0,0.145990872903138,0.000190328165582237,7.75934448313799E-07,1.23516710356302E-07,3.6299330306051E-05,-1.86454563886242E-05,0.000193244351124464,0,0,0,0,0,0,package://xy2leg3_4/meshes/Right_Link4.STL,1,1,1,1,0,0,0,0,0,0,package://xy2leg3_4/meshes/Right_Link4.STL,,LEG2_3-1;dm_3507_3d-241021-2,J4_R,A_J4_R,Right_Joint4,revolute,0.00799999999999998,0,0.0410000000000002,-1.5707963267949,0,-1.5707963267949,Right_Link3,0,0,-1,0,0,-3.14,3.14,,,,,,,,
Right_Link5,-0.00235246219938839,-4.91734902503538E-05,0.030159145949856,0,0,0,0.0964186497334596,3.88653396488195E-05,-7.12786212824832E-09,3.78705792586167E-06,3.34496753637897E-05,3.09878098725422E-08,2.75854888400379E-05,0,0,0,0,0,0,package://xy2leg3_4/meshes/Right_Link5.STL,1,1,1,1,0,0,0,0,0,0,package://xy2leg3_4/meshes/Right_Link5.STL,,末端-1;dm_3507_3d-241021-3,J5_R,A_J5_R,Right_Joint5,revolute,0,-0.1364,0.00100000000000003,1.5707963267949,1.5707963267949,0,Right_Link4,0,0,-1,0,0,-3.14,3.14,,,,,,,,
Right_Link6,2.77555756156289E-17,-0.0363795805359993,0.0132595033662779,0,0,0,0.15722469503807,0.000104904778487601,1.03870567366693E-20,-1.34067289673582E-20,0.000119175110761375,1.37558505919017E-06,0.000132132492563202,0,0,0,0,0,0,package://xy2leg3_4/meshes/Right_Link6.STL,1,1,1,1,0,0,0,0,0,0,package://xy2leg3_4/meshes/Right_Link6.STL,,轮足手-2,J6_R,A_J6_R,Right_Joint6,revolute,0.0174000000000001,0,0.0359999999999998,-1.5707963267949,0,-1.5707963267949,Right_Link5,0,0,-1,0,0,-3.14,3.14,,,,,,,,
Left_Link1,0.00798254262591885,-4.77268538488507E-05,0.0367785455178629,0,0,0,0.238485843809827,0.000160475140221196,-1.78209141041167E-08,2.36746192643362E-06,0.000162803714469803,5.15789180861714E-08,0.000140905213137449,0,0,0,0,0,0,package://xy2leg3_4/meshes/Left_Link1.STL,0.854901960784314,0.854901960784314,0.854901960784314,1,0,0,0,0,0,0,package://xy2leg3_4/meshes/Left_Link1.STL,,JOINT1-2;关节-4,J1_L,A_J1_L,Left_Joint1,revolute,0,0.0799999999999999,-0.10425,3.14159265358979,0,1.5707963267949,base_link,0,0,-1,0,0,-3.14,3.14,,,,,,,,
Left_Link2,2.16197100637167E-05,-0.047809535557176,0.0104711728165324,0,0,0,0.124068765231678,8.21449745858241E-05,7.03890766270855E-09,-3.17625196092079E-08,3.44293186899838E-05,-2.83137770412717E-06,9.2211430808422E-05,0,0,0,0,0,0,package://xy2leg3_4/meshes/Left_Link2.STL,1,1,1,1,0,0,0,0,0,0,package://xy2leg3_4/meshes/Left_Link2.STL,,LEG1-2;dm_3507_3d-241021-4,J2_L,A_J2_L,Left_Joint2,revolute,0.04275,0,0.0410499999999999,-1.5707963267949,0,-1.5707963267949,Left_Link1,0,0,-1,0,0,-3.14,3.14,,,,,,,,
Left_Link3,0.0160034046995862,-2.1528116532471E-05,0.0377308685252741,0,0,0,0.154593914718528,8.3819256479278E-05,1.70358974376006E-08,-8.96155666420268E-06,7.48474546986155E-05,2.53749334154722E-08,6.20594843464222E-05,0,0,0,0,0,0,package://xy2leg3_4/meshes/Left_Link3.STL,1,1,1,1,0,0,0,0,0,0,package://xy2leg3_4/meshes/Left_Link3.STL,,JOINT2_2-2;DM-J4310-2EC-2,J3_L,A_J3_L,Left_Joint3,revolute,0,-0.0968999999999997,0.0110499999999999,1.5707963267949,1.5707963267949,0,Left_Link2,0,0,-1,0,0,-3.14,3.14,,,,,,,,
